address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode
"Botteville Road, Acocks Green",580000,Semi-Detached,12,8,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/142399976#/?channel=RES_BUY,False,True,False,
"Botteville Road, Birmingham",395000,End of Terrace,4,2,"Open House Estate Agents, Nationwide",https://www.rightmove.co.uk/properties/149075144#/?channel=RES_BUY,False,False,False,
"Botteville Road, Birmingham, West Midlands, B27",380000,Semi-Detached,3,1,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/151599584#/?channel=RES_BUY,True,True,False,B27
"Botteville Road, Birmingham, West Midlands, B27",550000,Semi-Detached,6,3,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/153823385#/?channel=RES_BUY,True,True,False,B27
"Bowen Court, Wake Green Park, Moseley, Birmingham, B13",132500,Apartment,2,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/144635645#/?channel=RES_BUY,False,True,False,B13
"Braceby Avenue, Birmingham",190000,Terraced,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/150183542#/?channel=RES_BUY,True,True,False,
"Bradnock Close, BIRMINGHAM",435000,Semi-Detached,5,2,"Connells, Kings Heath",https://www.rightmove.co.uk/properties/148897544#/?channel=RES_BUY,True,True,False,
"Bradnock Close, Birmingham, West Midlands, B13",250000,Semi-Detached,3,2,"Dixons, Kings Heath",https://www.rightmove.co.uk/properties/154066088#/?channel=RES_BUY,True,True,False,B13
"Brampton Avenue, Birmingham, West Midlands, B28",400000,Semi-Detached,3,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/154118549#/?channel=RES_BUY,True,True,False,B28
"Brampton Crescent, Shirley, Solihull, West Midlands, B90",600000,Detached,5,3,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/153461402#/?channel=RES_BUY,True,True,False,B90
"Brandon Court, 356 Wake Green Road, Moseley, Birmingham, B13",194950,Duplex,2,2,"Nicholas George Ltd, Moseley",https://www.rightmove.co.uk/properties/153839495#/?channel=RES_BUY,False,True,False,B13
"Brandon Court, 356 Wake Green Road, Moseley, Birmingham, B13",209950,Duplex,3,2,"Nicholas George Ltd, Moseley",https://www.rightmove.co.uk/properties/153839447#/?channel=RES_BUY,False,True,False,B13
"Brandon Court, 365 Wake Green Road, Moseley, Birmingham, B13",199950,Duplex,2,2,"Nicholas George Ltd, Moseley",https://www.rightmove.co.uk/properties/153944837#/?channel=RES_BUY,False,True,False,B13
"Broad Road, Acocks Green",135000,Maisonette,2,1,"Encasa, Olton",https://www.rightmove.co.uk/properties/154474991#/?channel=RES_BUY,False,True,False,
"Broad Road, BIRMINGHAM",360000,Semi-Detached,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/150295814#/?channel=RES_BUY,True,True,False,
"Broadoaks, Streetsbrook Road, Solihull",180000,Studio,1,1,"Set To Let, Leicester",https://www.rightmove.co.uk/properties/145873511#/?channel=RES_BUY,False,True,False,
"Brompton Pool Road, Birmingham",75000,Flat,2,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/153841427#/?channel=RES_BUY,False,False,False,
"Bromwall Road, Birmingham",270000,House,3,1,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/140607947#/?channel=RES_BUY,True,True,False,
"Bromwall Road, Birmingham, B13",245000,End of Terrace,3,1,"Express Estate Agency, Nationwide",https://www.rightmove.co.uk/properties/151981685#/?channel=RES_BUY,True,True,False,B13
"Bronte Farm Road, Shirley, Solihull",325000,Semi-Detached,3,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/151518869#/?channel=RES_BUY,True,True,False,
"Brook Lane, Birmingham, West Midlands, B13",410000,Detached,3,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/152029832#/?channel=RES_BUY,True,True,False,B13
"Brook Lane, Solihull",350000,End of Terrace,3,2,"Burchell Edwards, Solihull",https://www.rightmove.co.uk/properties/149199122#/?channel=RES_BUY,True,True,False,
"Brook Lane, Solihull",350000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154593113#/?channel=RES_BUY,True,True,False,
"Brookfield Way, Solihull",300000,Town House,3,1,"Simon Burt The Estate Agent, Solihull",https://www.rightmove.co.uk/properties/153814922#/?channel=RES_BUY,True,True,False,
"Brooklands Road, Hall Green",360000,Semi-Detached,4,3,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/145641731#/?channel=RES_BUY,True,True,False,
"Brooklands Road, Hall Green",450000,Semi-Detached,5,2,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/148955843#/?channel=RES_BUY,True,True,False,
"Brookvale Grove, Solihull",325000,Semi-Detached,3,1,"Burchell Edwards, Solihull",https://www.rightmove.co.uk/properties/151899899#/?channel=RES_BUY,True,True,False,
"Broom Hall Crescent, Acocks Green",240000,Terraced,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/153836693#/?channel=RES_BUY,True,True,False,
"Bryanston Court, Grange Road, Solihull, B91 1BN",279000,Apartment,3,2,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/150033788#/?channel=RES_BUY,True,True,False,B91 1BN
"Bryanston Road, SOLIHULL",650000,Detached,4,2,"Burchell Edwards, Solihull",https://www.rightmove.co.uk/properties/150221714#/?channel=RES_BUY,True,True,False,
"Burman Road, Shirley, Solihull",325000,Semi-Detached,3,1,"Scriven & Co, Quinton",https://www.rightmove.co.uk/properties/153235118#/?channel=RES_BUY,True,True,False,
"Burman Road, Shirley, Solihull",485000,Link Detached House,3,1,"DM & Co. Homes, Solihull",https://www.rightmove.co.uk/properties/154385018#/?channel=RES_BUY,True,True,False,
"Burman Road, Shirley, Solihull, West Midlands, B90",450000,Detached,3,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/153228272#/?channel=RES_BUY,True,True,False,B90
"Bushmore Road, Birmingham",375000,Semi-Detached,4,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/147843119#/?channel=RES_BUY,True,True,False,
"Bushmore Road, Birmingham, West Midlands, B28",330000,Semi-Detached,3,1,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/152364731#/?channel=RES_BUY,True,True,False,B28
