address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode
"Cottesbrook Road, BIRMINGHAM, West Midlands, B27",280000,Detached,3,1,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/147494474#/?channel=RES_BUY,True,True,False,B27
"Cotton Lane, Moseley, Birmingham",525000,Semi-Detached,3,2,"Heritage Estate Agency, Kings Heath",https://www.rightmove.co.uk/properties/153723683#/?channel=RES_BUY,True,True,False,
"Croome Close, Sparkhill, Birmingham, B11",345000,Semi-Detached,3,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/152236007#/?channel=RES_BUY,True,True,False,B11
"Cropthorne Road, Shirley, Solihull, B90 3JW",395000,Detached Bungalow,2,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/154421702#/?channel=RES_BUY,True,True,False,B90 3JW
"Dalbury Road, Birmingham, B28 0NG",325000,Semi-Detached,3,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/154440530#/?channel=RES_BUY,True,True,False,B28 0NG
"Dalbury Road, Hall Green",325000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150112391#/?channel=RES_BUY,True,True,False,
"Dalbury Road, Hall Green",450000,Semi-Detached,5,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154274099#/?channel=RES_BUY,True,True,False,
"Danford Lane, Solihull, West Midlands, B91 1QH",850000,Detached,4,2,"VERITAS BUSINESS SALES LTD, Midlands",https://www.rightmove.co.uk/properties/142729511#/?channel=RES_BUY,True,True,False,B91 1QH
"Darwin House, Moseley",150000,Apartment,1,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/147883565#/?channel=RES_BUY,True,True,False,
"Dene Court Road, Solihull",365000,Detached,3,2,"Melvyn Danes, Solihull",https://www.rightmove.co.uk/properties/146000300#/?channel=RES_BUY,True,True,False,
"Denham Road, Birmingham",120000,Flat,1,1,"Property Local, Walsall",https://www.rightmove.co.uk/properties/153959003#/?channel=RES_BUY,True,True,False,
"Dolphin Lane, Birmingham",260000,End of Terrace,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/152541710#/?channel=RES_BUY,True,True,False,
"Douglas Road, Acocks Green",325000,End of Terrace,3,2,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/153616700#/?channel=RES_BUY,True,True,False,
"Doveridge Road, Hall Green",550000,Semi-Detached,4,2,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/149874494#/?channel=RES_BUY,True,True,False,
"Drayton Road, Birmingham, B14 7LR",325000,Terraced,3,1,"Robinson Estates, Stirchley",https://www.rightmove.co.uk/properties/151404674#/?channel=RES_BUY,True,False,False,B14 7LR
"Drayton Road, Birmingham, West Midlands, B14",340000,Terraced,4,2,"Dixons, Kings Heath",https://www.rightmove.co.uk/properties/154090766#/?channel=RES_BUY,True,False,False,B14
"Drayton Road, Kings Heath",225000,Terraced,3,1,"Martin & Co, Solihull",https://www.rightmove.co.uk/properties/143561606#/?channel=RES_BUY,True,False,False,
"Drayton Road, Kings Heath, Birmingham, B14",415000,Terraced,4,2,"Glovers Estate Agents, Kings Heath",https://www.rightmove.co.uk/properties/153546482#/?channel=RES_BUY,True,False,False,B14
"Drayton Road, Kings Heath, Birmingham, West Midlands, B14 7LR",225000,Terraced,3,1,"Pattinson Estate Agents, Auction",https://www.rightmove.co.uk/properties/87053382#/?channel=RES_BUY,True,True,False,B14 7LR
"Dudley Park Road, Acocks Green",115000,Flat,1,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/154218257#/?channel=RES_BUY,False,False,False,
"Dunard Road, Shirley, Solihull",399950,Detached,3,1,"Melvyn Danes, Shirley",https://www.rightmove.co.uk/properties/154552565#/?channel=RES_BUY,True,True,False,
"Dunard Road, Shirley, Solihull, B90 2HR",395000,Detached,3,2,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/87026172#/?channel=RES_BUY,True,True,False,B90 2HR
"Dunstan Croft, Shirley, Solihull, B90 4DJ",345000,Semi-Detached,3,2,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/152497721#/?channel=RES_BUY,True,True,False,B90 4DJ
"Dunstan Croft, Shirley, Solihull, B90 4DJ",440000,Semi-Detached,4,2,"Drakes Estate Agents, Hollywood",https://www.rightmove.co.uk/properties/149680649#/?channel=RES_BUY,True,True,False,B90 4DJ
"Durham Road, Birmingham, B11",335000,Terraced,5,2,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/149872658#/?channel=RES_BUY,True,True,False,B11
"Durlston Grove, Birmingham, West Midlands, B28",230000,Semi-Detached,3,1,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/154156040#/?channel=RES_BUY,True,True,False,B28
"Dyott Road, Moseley",700000,Detached,4,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/148479224#/?channel=RES_BUY,True,True,False,
"Eaton Road, Birmingham",450000,Detached,4,3,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/153791882#/?channel=RES_BUY,True,True,False,
"Eaton Road, Birmingham, West Midlands, B11",350000,Semi-Detached,4,2,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/152486381#/?channel=RES_BUY,True,True,False,B11
"Edgcombe Road, Hall Green",290000,End of Terrace,3,2,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/146635928#/?channel=RES_BUY,True,True,False,
"Effingham Road, Billesley, Birmingham, B13",220000,End of Terrace,3,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/152059376#/?channel=RES_BUY,True,False,False,B13
"Egginton Road, Hall Green",330000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154115945#/?channel=RES_BUY,True,True,False,
"Electric Way, Birmingham",180000,End of Terrace,2,1,"Chambers Property, Water Orton",https://www.rightmove.co.uk/properties/153145001#/?channel=RES_BUY,True,True,False,
"Electric Way, Birmingham",250000,End of Terrace,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/149131022#/?channel=RES_BUY,True,True,False,
"Electric Way, Birmingham, West Midlands, B11",245000,End of Terrace,3,3,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/149557943#/?channel=RES_BUY,True,True,False,B11
"Elland Grove, Birmingham, West Midlands, B27",195000,Terraced,3,1,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/151534196#/?channel=RES_BUY,True,False,False,B27
"Elm Bank, Moseley, Birmingham, B13",499950,Detached,4,2,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/152596937#/?channel=RES_BUY,True,True,False,B13
"Endsleigh Grove, Birmingham, B28",310000,Semi-Detached,3,1,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/153631823#/?channel=RES_BUY,True,True,False,B28
"Englewood Drive, Birmingham, B28",360000,Detached,3,1,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/122372468#/?channel=RES_BUY,True,True,False,B28
"Exel Drive, Birmingham",160000,Flat,2,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/152805662#/?channel=RES_BUY,False,True,False,
"Exel Drive, Birmingham, B11",355000,End of Terrace,4,3,"Urban Edge Estates, Covering Shirley",https://www.rightmove.co.uk/properties/153945557#/?channel=RES_BUY,True,True,False,B11
"Fabian Crescent, Shirley, Solihull",390000,Semi-Detached,3,1,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/148557371#/?channel=RES_BUY,True,True,False,
"Fairford Close, Solihull, B91",739950,Detached,4,2,"Xact Homes, Solihull",https://www.rightmove.co.uk/properties/138893867#/?channel=RES_BUY,True,True,False,B91
"Fallowfield Avenue, Birmingham",375000,Semi-Detached,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/154552121#/?channel=RES_BUY,True,True,False,
"Fallowfield Avenue, Birmingham",415000,Semi-Detached,4,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/154552145#/?channel=RES_BUY,True,True,False,
"Ferndale Road, Hall Green",450000,Semi-Detached,3,2,"DM & Co. Homes, Solihull",https://www.rightmove.co.uk/properties/153896033#/?channel=RES_BUY,True,True,False,
"Fircroft, Solihull",550000,Detached,4,2,"Ruxton Independent Estate Agents & Valuers, Solihull",https://www.rightmove.co.uk/properties/149876141#/?channel=RES_BUY,True,True,False,
"Firth Drive, Birmingham",290000,Semi-Detached,4,1,"Melvyn Danes, Wythall",https://www.rightmove.co.uk/properties/150069248#/?channel=RES_BUY,True,True,False,
"Firth Drive, Kings Heath, B14",250000,Semi-Detached,3,1,"Martin & Co, Harborne",https://www.rightmove.co.uk/properties/154067819#/?channel=RES_BUY,True,True,False,B14
"Flint Green Road, Acocks Green",475000,Semi-Detached,4,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/151053821#/?channel=RES_BUY,True,True,False,
"Florence Road, Acocks Green, Birmingham",230000,Terraced,3,1,"Connells, Kings Heath",https://www.rightmove.co.uk/properties/150790973#/?channel=RES_BUY,True,True,False,
"Florence Road, BIRMINGHAM, West Midlands, B27",240000,Terraced,3,1,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/153889991#/?channel=RES_BUY,True,False,False,B27
"Fords Road, Shirley, Solihull, B90 1DU",425000,Detached Bungalow,3,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/151254446#/?channel=RES_BUY,True,True,False,B90 1DU
"Forest Road, Moseley, Birmingham",895000,Semi-Detached,6,3,"Inigo, London",https://www.rightmove.co.uk/properties/151788794#/?channel=RES_BUY,True,True,False,
"Forest Road, Moseley, Birmingham, B13",149950,Apartment,1,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/154476533#/?channel=RES_BUY,False,True,False,B13
"Forest Road, Moseley, Birmingham, West Midlands, B13",160000,Flat,1,1,"Dixons, Moseley",https://www.rightmove.co.uk/properties/145398398#/?channel=RES_BUY,False,False,False,B13
"Formans Road, Sparkhill, BIRMINGHAM",175000,Terraced,2,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/152360417#/?channel=RES_BUY,True,False,False,
"Fox Green Crescent, Birmingham, West Midlands, B27",270000,End of Terrace,3,1,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/149906573#/?channel=RES_BUY,True,True,False,B27
"Fox Hollies Road, Acocks Green",240000,End of Terrace,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/135108512#/?channel=RES_BUY,True,True,False,
"Fox Hollies Road, BIRMINGHAM, West Midlands, B28",355000,Semi-Detached,3,2,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/154090382#/?channel=RES_BUY,True,True,False,B28
"Fox Hollies Road, Birmingham",230000,Terraced,3,2,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/153484847#/?channel=RES_BUY,True,True,False,
"Fox Hollies Road, Hall Green",390000,Link Detached House,5,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150113480#/?channel=RES_BUY,True,True,False,
"Foxglove House, Elm Road, Blythe Valley",230000,Apartment,2,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150107960#/?channel=RES_BUY,True,True,False,
"Gaddesby Road, Birmingham",325000,Terraced,4,2,"Good Move, Leeds",https://www.rightmove.co.uk/properties/154291148#/?channel=RES_BUY,False,False,False,
"Gaddesby Road, Kings Heath",325000,Terraced,3,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/152446544#/?channel=RES_BUY,True,False,False,
"Gaddesby Road, Kings Heath, Birmingham",240000,Terraced,2,1,"James Laurence Estate Agents, Edgbaston",https://www.rightmove.co.uk/properties/149303690#/?channel=RES_BUY,True,True,False,
"Garden Bungalow, 31 Oxford Road, Moseley, Birmingham, B13 9EH",140000,Bungalow,2,1,"Bond Wolfe, Auctions",https://www.rightmove.co.uk/properties/153279509#/?channel=RES_BUY,True,True,False,B13 9EH
"Garden Bungalow, Oxford Road, Moseley",150000,Detached Bungalow,2,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/154238240#/?channel=RES_BUY,True,False,False,
"Gedney Close, Shirley, Solihull, West Midlands, B90",260000,End of Terrace,3,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/153101693#/?channel=RES_BUY,True,True,False,B90
"Gedney Close, Shirley, Solihull, West Midlands, B90",450000,Bungalow,3,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/152418149#/?channel=RES_BUY,False,True,False,B90
"Geoffrey Road, Birmingham, West Midlands, B11",260000,Terraced,3,1,"Dixons, Moseley",https://www.rightmove.co.uk/properties/153908018#/?channel=RES_BUY,True,True,False,B11
"Geoffrey Road, Shirley, Solihull",325000,Semi-Detached,3,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/154060478#/?channel=RES_BUY,True,False,False,
"Gilliver Road, Shirley",300000,End of Terrace,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/87039888#/?channel=RES_BUY,True,True,False,
"Glaisdale Road, BIRMINGHAM",550000,Semi-Detached,5,2,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/153107525#/?channel=RES_BUY,True,True,False,
"Glastonbury Road, Birmingham, B14 4DS",210000,Terraced,2,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/154481183#/?channel=RES_BUY,True,True,False,B14 4DS
"Glen Rise, Birmingham",240000,Semi-Detached,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/153856070#/?channel=RES_BUY,True,True,False,
"Glyde Court, Hazelwood Road, Acocks Green",105000,Apartment,1,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150107861#/?channel=RES_BUY,True,True,False,
"Gospel Lane, BIRMINGHAM",240000,End of Terrace,2,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/153287984#/?channel=RES_BUY,True,True,False,
"Gospel Lane, Birmingham, B27",200000,Terraced,2,1,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/152547530#/?channel=RES_BUY,True,True,False,B27
"Gospel Lane, Olton, Birmingham",220000,Terraced,3,1,"DM & Co. Homes, Solihull",https://www.rightmove.co.uk/properties/153458261#/?channel=RES_BUY,True,True,False,
"Gracemere Crescent, Birmingham",260000,Terraced,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/148821287#/?channel=RES_BUY,True,False,False,
"Grange Road, Solihull, B91",915000,Detached,4,2,"Shepherd Cullen, Covering Solihull & Warwickshire",https://www.rightmove.co.uk/properties/148690403#/?channel=RES_BUY,True,True,False,B91
"Great Western Court, The Avenue, Acocks Green",140000,House,2,2,"Hunters, Solihull",https://www.rightmove.co.uk/properties/151817528#/?channel=RES_BUY,False,True,False,
"Green Avenue, Hall Green, Birmingham, B28",400000,Semi-Detached,4,2,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/150625481#/?channel=RES_BUY,True,True,False,B28
"Green Court, 643 Fox Hollies Road, Hall Green, Birmingham, B28",345000,Bungalow,2,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/151663508#/?channel=RES_BUY,True,True,False,B28
"Green Hill Way, Shirley",260000,End of Terrace,3,1,"Encasa, Olton",https://www.rightmove.co.uk/properties/149728391#/?channel=RES_BUY,True,False,False,
"Green Hill Way, Shirley, Solihull",260000,End of Terrace,3,1,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/153732749#/?channel=RES_BUY,True,False,False,
"Green Hill Way, Shirley, Solihull, B90 3PN",115000,Apartment,1,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/149849063#/?channel=RES_BUY,False,False,False,B90 3PN
"Greenaleigh Road, BIRMINGHAM",180000,Semi-Detached,3,1,"Connells, Kings Heath",https://www.rightmove.co.uk/properties/152091614#/?channel=RES_BUY,True,True,False,
"Greenford Road, Birmingham, West Midlands",240000,Terraced,3,1,"Leaders Sales, Maypole",https://www.rightmove.co.uk/properties/154578560#/?channel=RES_BUY,True,True,False,
"Grenville Road, Shirley, SOLIHULL",350000,Semi-Detached,3,2,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/154123223#/?channel=RES_BUY,True,True,False,
"Gresham Road, Birmingham",325000,Semi-Detached,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/154393907#/?channel=RES_BUY,True,True,False,
"Gresham Road, Hall Green",325000,Semi-Detached,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/146621384#/?channel=RES_BUY,True,True,False,
"Gresham Road, Hall Green, Birmingham",325000,Semi-Detached,3,1,"Partridge Homes, Birmingham",https://www.rightmove.co.uk/properties/152527739#/?channel=RES_BUY,True,True,False,
"Greswolde Road, Birmingham",210000,Terraced,3,1,"Property Local, Walsall",https://www.rightmove.co.uk/properties/153149780#/?channel=RES_BUY,False,False,False,
"Greswolde Road, Birmingham, B11",200000,End of Terrace,3,1,not_specified,https://www.rightmove.co.uk/properties/152879876#/?channel=RES_BUY,True,True,False,B11
"Greswolde Road, Solihull",615000,Semi-Detached,5,2,"Ruxton Independent Estate Agents & Valuers, Solihull",https://www.rightmove.co.uk/properties/153445748#/?channel=RES_BUY,True,True,False,
"Greswolde Road, Solihull, West Midlands, B91",575000,Semi-Detached,3,2,"John Shepherd, Solihull",https://www.rightmove.co.uk/properties/154175984#/?channel=RES_BUY,True,True,False,B91
"Grove Avenue, Moseley, Birmingham, B13 9RU",475000,Detached,3,1,"Edwards and Gray, West Midlands",https://www.rightmove.co.uk/properties/154404875#/?channel=RES_BUY,True,True,False,B13 9RU
"Hamlet Road, Birmingham",395000,Semi-Detached,3,2,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/150821357#/?channel=RES_BUY,True,True,False,
"Hanbury Croft, Birmingham",280000,Semi-Detached,3,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/154382546#/?channel=RES_BUY,True,True,False,
"Harewood Close, Hall Green",315000,Detached Bungalow,2,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150108644#/?channel=RES_BUY,True,True,False,
"Hargrave Road, Shirley",350000,Link Detached House,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150109748#/?channel=RES_BUY,True,True,False,
"Hargrave Road, Shirley",400000,Detached,3,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150109421#/?channel=RES_BUY,True,True,False,
"Hargrave Road, Shirley, Solihull",450000,Detached,4,2,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/154155692#/?channel=RES_BUY,True,True,False,
"Harwood Grove, Shirley, B90",170000,Apartment,2,1,"Xact Homes, Solihull",https://www.rightmove.co.uk/properties/153655133#/?channel=RES_BUY,True,True,False,B90
"Haseley Road, Solihull, B91 1DH",440000,Detached,3,1,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/153542495#/?channel=RES_BUY,True,True,False,B91 1DH
"Haslucks Green Road, Shirley, Solihull",190000,Ground Flat,2,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/147223274#/?channel=RES_BUY,True,True,False,
"Haslucks Green Road, Shirley, Solihull",385000,Semi-Detached,3,2,"Melvyn Danes, Shirley",https://www.rightmove.co.uk/properties/151027028#/?channel=RES_BUY,True,True,False,
"Haslucks Green Road, Shirley, Solihull",425000,Detached,3,1,"HS Homes of Solihull, Solihull",https://www.rightmove.co.uk/properties/152611640#/?channel=RES_BUY,True,True,False,
"Haslucks Green Road, Shirley, Solihull",545950,Detached,4,1,"Melvyn Danes, Shirley",https://www.rightmove.co.uk/properties/135137438#/?channel=RES_BUY,True,True,False,
"Haslucks Green Road, Shirley, Solihull, B90 2EJ",400000,Detached Bungalow,3,1,"Edwards and Gray, West Midlands",https://www.rightmove.co.uk/properties/150099899#/?channel=RES_BUY,True,True,False,B90 2EJ
"Haslucks Green Road, Shirley, Solihull, West Midlands, B90",400000,Detached,3,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/153430097#/?channel=RES_BUY,True,True,False,B90
"Haslucks Green Road, Solihull",330000,Semi-Detached,3,1,"Partridge Homes, Birmingham",https://www.rightmove.co.uk/properties/153963974#/?channel=RES_BUY,True,True,False,
"Haunch Close, Birmingham, West Midlands",125000,Apartment,2,2,"Leaders Sales, Maypole",https://www.rightmove.co.uk/properties/151634018#/?channel=RES_BUY,False,True,False,
"Haunch Close, Birmingham, West Midlands, B13",125000,Flat,1,1,"Dixons, Kings Heath",https://www.rightmove.co.uk/properties/150901169#/?channel=RES_BUY,False,True,False,B13
"Haunch Close, Birmingham, West Midlands, B13",140000,Apartment,2,2,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/145544558#/?channel=RES_BUY,False,True,False,B13
"Haunch Lane, Birmingham",500000,Detached,5,3,"Shipways, Shirley",https://www.rightmove.co.uk/properties/151816595#/?channel=RES_BUY,True,False,False,
"Haunch Lane, Birmingham, B13",495000,Semi-Detached,5,1,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/146887646#/?channel=RES_BUY,True,True,False,B13
"Haunch Lane, Birmingham, West Midlands, B13",400000,Semi-Detached,5,2,"Dixons, Kings Heath",https://www.rightmove.co.uk/properties/153626705#/?channel=RES_BUY,False,True,False,B13
"Haunch Lane, Kings Heath, Birmingham, B13",300000,Semi-Detached,3,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/152119805#/?channel=RES_BUY,True,True,False,B13
"Haunch Lane, Kings Heath, West Midlands, B13",435000,Semi-Detached,4,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/152825198#/?channel=RES_BUY,True,True,False,B13
"Hawkesbury Road, Shirley, Solihull",550000,Semi-Detached,5,1,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/152839160#/?channel=RES_BUY,True,True,False,
"Hawkhurst Road, Maypole, Birmingham",210000,Semi-Detached,3,1,"Leaders Sales, Maypole",https://www.rightmove.co.uk/properties/150176540#/?channel=RES_BUY,True,True,False,
"Hawthorne Gardens, Birmingham",215000,Apartment,2,2,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/144726371#/?channel=RES_BUY,True,True,False,
"Hawthorne Gardens, Moseley, Birmingham, B13",200000,Apartment,2,2,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/150426851#/?channel=RES_BUY,False,True,False,B13
"Hazelville Road, Birmingham, B28",240000,End of Terrace,3,1,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/147093839#/?channel=RES_BUY,True,True,False,B28
"Hazelwood Road, Acocks Green",300000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150109109#/?channel=RES_BUY,True,True,False,
"Hazelwood Road, Acocks Green, Birmingham",285000,Semi-Detached,3,1,"Melvyn Danes, Sheldon",https://www.rightmove.co.uk/properties/152746001#/?channel=RES_BUY,True,True,False,
"Hazelwood Road, Acocks Green, Birmingham, West Midlands, B27 7XQ",136000,Flat,2,1,"Hawkins & Patterson, Henley in Arden",https://www.rightmove.co.uk/properties/146053040#/?channel=RES_BUY,True,True,False,B27 7XQ
"Hazelwood Road, Birmingham, B27 7XT",300000,Semi-Detached,3,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/153392906#/?channel=RES_BUY,True,True,False,B27 7XT
"Heathcliff Road, BIRMINGHAM",190000,Terraced,3,1,"Connells, Kings Heath",https://www.rightmove.co.uk/properties/152188445#/?channel=RES_BUY,True,True,False,
"Henlow Road, Birmingham, B14",230000,Terraced,3,1,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/154384001#/?channel=RES_BUY,True,True,False,B14
"Heythrop Grove, Moseley",499950,Semi-Detached,5,2,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/149595989#/?channel=RES_BUY,True,True,False,
"High Street, Shirley, Solihull",180000,Apartment,2,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/153830297#/?channel=RES_BUY,False,True,False,
"Highfield Road, Hall Green",410000,Semi-Detached,3,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/153173705#/?channel=RES_BUY,True,True,False,
"Highters Heath Lane, Warstock, Birmingham",240000,End of Terrace,3,1,"Leaders Sales, Maypole",https://www.rightmove.co.uk/properties/152498501#/?channel=RES_BUY,True,True,False,
"Highters Road, Warstock, Birmingham",250000,Terraced,3,2,"Leaders Sales, Maypole",https://www.rightmove.co.uk/properties/154324331#/?channel=RES_BUY,True,True,False,
"Hilton Avenue, Birmingham",350000,Semi-Detached,3,2,"Shipways, Shirley",https://www.rightmove.co.uk/properties/152642933#/?channel=RES_BUY,True,True,False,
"Hopton Grove, BIRMINGHAM, West Midlands, B13",235000,End of Terrace,3,1,"Dixons, Kings Heath",https://www.rightmove.co.uk/properties/153953108#/?channel=RES_BUY,True,True,False,B13
"Howard Road, Solihull, West Midlands, B92",315000,Semi-Detached,3,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/153702812#/?channel=RES_BUY,True,True,False,B92
"Hunscote House, Hunscote Close, Shirley",185000,Flat,2,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150975065#/?channel=RES_BUY,True,True,False,
"Hurdis Road, Shirley, Solihull, B90 2DW",375000,Semi-Detached,3,2,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/150711353#/?channel=RES_BUY,True,True,False,B90 2DW
"Hytall Road, Shirley, SOLIHULL",110000,Flat,1,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/150848129#/?channel=RES_BUY,True,True,False,
"Hytall Road, Shirley, Solihull, B90 1NE",240000,Terraced,3,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/154206092#/?channel=RES_BUY,True,True,False,B90 1NE
"Ingoldsby Court, Moseley",185000,Apartment,2,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/148516010#/?channel=RES_BUY,True,True,False,
"Ivor Road, Birmingham",364950,House,4,2,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/147800507#/?channel=RES_BUY,True,True,False,
"Jacey Road, Shirley",375000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150108830#/?channel=RES_BUY,True,True,False,
"Jacey Road, Shirley, Solihull, West Midlands, B90",475000,Semi-Detached,4,2,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/152560205#/?channel=RES_BUY,True,True,False,B90
"James Court, Wake Green Park",100000,Flat,1,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/153012953#/?channel=RES_BUY,False,True,False,
"James Court, Wake Green Park, Moseley, Birmingham, B13",132500,Apartment,1,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/139779149#/?channel=RES_BUY,False,True,False,B13
"Jutland Road, Birmingham, B13",240000,Terraced,2,1,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/153747452#/?channel=RES_BUY,True,True,False,B13
"Kedleston Road, Hall Green",340000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150151085#/?channel=RES_BUY,True,True,False,
"Keel Drive, Birmingham, West Midlands, B13",600000,Detached,4,2,"Dixons, Moseley",https://www.rightmove.co.uk/properties/143297840#/?channel=RES_BUY,True,True,False,B13
