Unnamed: 0,address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode,location,latitude,longitude,tenure,to_nearest_station,to_nearest_school,tax_band
448,"Reservoir Road, Solihull",445000,Semi-Detached,4,1,"Hunters, Solihull",https://www.rightmove.co.uk/properties/151662326#/?channel=RES_BUY,True,True,False,,"Reservoir Road, Ulverley Green, Solihull, West Midlands, England, B92 8BA, United Kingdom",52.4350462,-1.7993011,Freehold,0.4 miles,0.6 miles,Band: E
622,"Trinity Court, Moseley",215000,Apartment,2,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/153242372#/?channel=RES_BUY,True,True,False,,"53 Wake Green Road, Moseley, Birmingham, West Midlands, England, B13 9HW, United Kingdom",52.44380463429303,-1.878170617197836,Leasehold,1.6 miles,0.2 miles,Band: D
417,"Peterbrook Road, Shirley",500000,Detached,3,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/153041453#/?channel=RES_BUY,True,True,False,,"Peterbrook Road, Solihull Lodge, Solihull, West Midlands, England, B90 1JQ, United Kingdom",52.4023281,-1.8558247,Freehold,0.7 miles,0.2 miles,Band: D
284,"Heathcliff Road, BIRMINGHAM",190000,Terraced,3,1,"Connells, Kings Heath",https://www.rightmove.co.uk/properties/152188445#/?channel=RES_BUY,True,True,False,,"Heathcliff Road, Acocks Green, Tyseley, Birmingham, West Midlands, England, B11 3RA, United Kingdom",52.4518265,-1.839945,Freehold,0.2 miles,0.2 miles,Band: A
182,"Edgcombe Road, Hall Green",290000,End of Terrace,3,2,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/146635928#/?channel=RES_BUY,True,True,False,,"Edgcombe Road, Billesley, Fox Hollies, Birmingham, West Midlands, England, B28 8NE, United Kingdom",52.4390973,-1.8451682,Freehold,0.2 miles,0.1 miles,Band: B
327,"Longmore Road, Shirley, Solihull",475000,Semi-Detached,3,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/151801433#/?channel=RES_BUY,True,True,False,,"Longmore Road, Blossomfield, Solihull, West Midlands, England, B90 3EX, United Kingdom",52.4044141,-1.8134917,Freehold,1.3 miles,0.2 miles,Band: D
31,"Ashwell Drive, Shirley, Solihull",375000,Semi-Detached Bungalow,2,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/151017920#/?channel=RES_BUY,True,True,False,,"Ashwell Drive, Sharmans Cross, Solihull, West Midlands, England, B90 3LR, United Kingdom",52.4141396,-1.8138798,Freehold,1.1 miles,0.2 miles,Band: D
699,"Woodshires Road, Solihull, West Midlands, B92",200000,Flat,2,1,"John Shepherd, Solihull",https://www.rightmove.co.uk/properties/148552664#/?channel=RES_BUY,False,True,False,B92,"Woodshires Road, Kineton Green, Solihull, West Midlands, England, B92 7DN, United Kingdom",52.4301982,-1.8050122,Leasehold,0.6 miles,0.3 miles,Band: C
549,"St Agnes Road, Moseley, Birmingham, B13",745000,Semi-Detached,6,2,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/133217753#/?channel=RES_BUY,True,True,False,B13,"St Agnes Road, Springfield, Wake Green, Birmingham, West Midlands, England, B13 9JW, United Kingdom",52.4387757,-1.8714784,Freehold,1.3 miles,0.6 miles,Band: G
558,"Stockfield Road, Acocks Green, Birmingham, West Midlands, B27",365000,End of Terrace,5,2,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/153009605#/?channel=RES_BUY,True,True,False,B27,"Stockfield Road, Acocks Green, Tyseley, Birmingham, West Midlands, England, B27 6AP, United Kingdom",52.4523038,-1.8313123,Freehold,0.4 miles,0.5 miles,Band: TBC
