,address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode,location,latitude,longitude,tenure,to_nearest_station,to_nearest_school,tax_band,price_range
12,"Longmore Road, Shirley",365000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154028207#/?channel=RES_BUY,True,True,False,B90 3EX,"Longmore Road, Blossomfield, Solihull, West Midlands, England, B90 3EX, United Kingdom",52.4044141,-1.8134917,Freehold,1.3,0.2,D,200-400
13,"Brook Lane, Birmingham, West Midlands, B13",410000,Detached,3,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/152029832#/?channel=RES_BUY,True,True,False,B13,"Brook Lane, Billesley, Yardley Wood, Birmingham, West Midlands, England, B13 0BJ, United Kingdom",52.4292524,-1.8575046,,1.3,0.3,TBC,400-600
14,"Formans Road, Sparkhill, BIRMINGHAM",175000,Terraced,2,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/152360417#/?channel=RES_BUY,True,False,False,B11 3AP,"Formans Road, Springfield, Greet, Birmingham, West Midlands, England, B11 3AP, United Kingdom",52.4479279,-1.8571065,Freehold,0.9,0.3,A,0-200
15,"Pipers Green, Birmingham, West Midlands, B28",350000,Detached,3,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/152225120#/?channel=RES_BUY,True,True,False,B28,"Pipers Green, Billesley, Yardley Wood, Birmingham, West Midlands, England, B28 0NU, United Kingdom",52.420771,-1.844492,Freehold,0.4,0.3,D,200-400
16,"Reddings Lane, BIRMINGHAM, West Midlands, B11",130000,Flat,2,2,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/154580363#/?channel=RES_BUY,False,False,False,B11,"Reddings Lane, Springfield, Greet, Birmingham, West Midlands, England, B11 3HB, United Kingdom",52.4506332,-1.8463792,Leasehold,0.4,0.1,TBC,0-200
17,"Wake Green Road, Moseley, West Midlands B13 9UZ",1000000,Detached,7,7,"Fine & Country, Birmingham",https://www.rightmove.co.uk/properties/152447750#/?channel=RES_BUY,True,True,False,B13 9UZ,"Wake Green Road, Moseley, Wake Green, Birmingham, West Midlands, England, B13 9PE, United Kingdom",52.4435399,-1.8774036,Freehold,0.7,0.1,G,800-1000
18,"Yardley Wood Road, Moseley, Birmingham, B13",400000,Detached,4,3,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/151166042#/?channel=RES_BUY,True,True,False,B13,"Yardley Wood Road, Springfield, Wake Green, Birmingham, West Midlands, England, B13 9LB, United Kingdom",52.438007,-1.8709076,Freehold,1.1,0.1,D,400-600
19,"Manor Farm Road , Tyseley",185000,Terraced,2,1,"Encasa, Olton",https://www.rightmove.co.uk/properties/144404480#/?channel=RES_BUY,True,False,False,B11 2HU,"Manor Farm Road, Springfield, Greet, Birmingham, West Midlands, England, B11 2HU, United Kingdom",52.4539809,-1.8488193,Freehold,0.5,0.1,,0-200
20,"Billesley Lane, Moseley, Birmingham, B13 9RW",475000,Detached,3,1,"Wentworth & Rose, Harborne",https://www.rightmove.co.uk/properties/151839635#/?channel=RES_BUY,True,True,False,B13 9RW,"Billesley Lane, Kings Heath, Wake Green, Birmingham, West Midlands, England, B13 9RN, United Kingdom",52.4362956,-1.8810967,Freehold,1.5,0.3,TBC,400-600
21,"Fox Green Crescent, Birmingham, West Midlands, B27",270000,Terraced,3,1,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/149906573#/?channel=RES_BUY,True,True,False,B27,"Fox Green Crescent, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B27 7SY, United Kingdom",52.4414125,-1.8377109,Freehold,0.1,0.3,TBC,200-400
22,"Windermere Road, Moseley, Birmingham, B13",280000,Terraced,2,1,"Glovers Estate Agents, Kings Heath",https://www.rightmove.co.uk/properties/152297819#/?channel=RES_BUY,True,False,False,B13,"Windermere Road, Springfield, Wake Green, Birmingham, West Midlands, England, B13 9JS, United Kingdom",52.4401537,-1.8689397,Freehold,1.0,0.3,B,200-400
23,"Streetsbrook Road, Solihull",465000,Terraced,3,2,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/151074476#/?channel=RES_BUY,True,True,False,B90 3PD,"Streetsbrook Road, Shirley, Solihull, West Midlands, England, B90 3PD, United Kingdom",52.4223289,-1.8253451,Freehold,1.8,0.2,D,400-600
24,"Reservoir Road, Solihull",565000,Semi-Detached,4,1,"DM & Co. Homes, Solihull",https://www.rightmove.co.uk/properties/153805232#/?channel=RES_BUY,True,True,False,B92 8BA,"Reservoir Road, Ulverley Green, Solihull, West Midlands, England, B92 8BA, United Kingdom",52.4350462,-1.7993011,Freehold,0.3,0.6,E,400-600
25,"Circular Road, Birmingham",240000,Terraced,2,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/151336823#/?channel=RES_BUY,True,True,False,B27 7BY,"Circular Road, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B27 7BY, United Kingdom",52.44092505,-1.823228483627468,Freehold,0.6,0.2,A,200-400
26,"Lyons Grove, Birmingham",280000,Semi-Detached,3,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/154382543#/?channel=RES_BUY,True,True,False,B11 4HR,"Lyons Grove, Springfield, Wake Green, Birmingham, West Midlands, England, B11 4HR, United Kingdom",52.4477827,-1.86773,Freehold,1.2,0.2,C,200-400
27,"Brampton Avenue, Birmingham, West Midlands, B28",400000,Semi-Detached,3,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/154118549#/?channel=RES_BUY,True,True,False,B28,"Brampton Avenue, Hall Green, Birmingham, West Midlands, England, B28 9LG, United Kingdom",52.4263865,-1.837349,Freehold,0.8,0.1,C,400-600
28,"Brook Lane, Solihull",350000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154593113#/?channel=RES_BUY,True,True,False,B92 7EJ,"Brook Lane, Kineton Green, Solihull, West Midlands, England, B92 7EJ, United Kingdom",52.4328943,-1.8150253,Freehold,0.6,0.2,C,200-400
29,"Avery Drive, Birmingham, West Midlands, B27",300000,Detached,3,1,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/154387964#/?channel=RES_BUY,True,True,False,B27,"Avery Drive, Acocks Green, Tyseley, Birmingham, West Midlands, England, B27 6AL, United Kingdom",52.4503773,-1.8235883,Freehold,0.2,0.3,D,200-400
30,"Dalbury Road, Hall Green",325000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150112391#/?channel=RES_BUY,True,True,False,B28 0NE,"Dalbury Road, Billesley, Yardley Wood, Birmingham, West Midlands, England, B28 0NE, United Kingdom",52.4182099,-1.847284,Freehold,0.4,0.2,C,200-400
31,"Chamberlain Crescent, Shirley, Solihull",300000,Semi-Detached,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/148678502#/?channel=RES_BUY,True,True,False,B90 2DQ,"Chamberlain Crescent, Shirley, Solihull, West Midlands, England, B90 2DQ, United Kingdom",52.4067802,-1.8361559,Freehold,0.5,0.1,C,200-400
32,"Ulverley Green Road, Solihull, West Midlands, B92",325000,Semi-Detached,3,1,"Dixons, Solihull",https://www.rightmove.co.uk/properties/154475267#/?channel=RES_BUY,True,True,False,B92,"Ulverley Green Road, Olton, Solihull, West Midlands, England, B92 8BG, United Kingdom",52.4374965,-1.8041871,Freehold,0.2,0.4,D,200-400
33,"Ryefield Close,Solihull B91 1PP",850000,Detached,5,2,"Clive Tanner Wyatts, Hall Green",https://www.rightmove.co.uk/properties/152341013#/?channel=RES_BUY,True,True,False,B91 1PP,"Ryefield Close, Sharmans Cross, Solihull, West Midlands, England, B91 1PP, United Kingdom",52.4180481,-1.8085889,Freehold,0.9,0.3,F,800-1000
34,"Bromwall Road, Birmingham",270000,Terraced,3,1,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/140607947#/?channel=RES_BUY,True,True,False,B13 0LR,"Bromwall Road, Billesley, Yardley Wood, Birmingham, West Midlands, England, B13 0LR, United Kingdom",52.4228231,-1.8701997,Freehold,0.5,0.2,B,200-400
35,"Dunard Road, Shirley, Solihull, B90 2HR",395000,Detached,3,2,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/87026172#/?channel=RES_BUY,True,True,False,B90 2HR,"Dunard Road, Haslucks Green, Solihull, West Midlands, England, B90 2HR, United Kingdom",52.4112968,-1.8426263,Freehold,0.6,0.4,D,200-400
36,"Broad Road, Acocks Green",135000,Other,2,1,"Encasa, Olton",https://www.rightmove.co.uk/properties/154474991#/?channel=RES_BUY,False,True,False,B27 7XB,"Broad Road, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B27 7XB, United Kingdom",52.4469268,-1.8289905,Leasehold,0.3,0.2,,0-200
37,"Collingtree Court, Solihull, West Midlands, B92",180000,Flat,2,2,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/153043808#/?channel=RES_BUY,False,True,False,B92,"Collingtree Court, Olton, Solihull, West Midlands, England, B92 7HS, United Kingdom",52.441223,-1.8107268,Leasehold,0.3,0.3,C,0-200
38,"Cole Valley Road, Birmingham",375000,Semi-Detached,3,2,"Shipways, Shirley",https://www.rightmove.co.uk/properties/151387379#/?channel=RES_BUY,True,True,False,B28 0DF,"Cole Valley Road, Billesley, Yardley Wood, Birmingham, West Midlands, England, B28 0DF, United Kingdom",52.4260147,-1.857011,Freehold,0.1,0.2,C,200-400
39,"Lucks Avenue, Birmingham",280000,Semi-Detached,2,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/153174224#/?channel=RES_BUY,True,True,False,B28 8FD,"Lucks Avenue, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B28 8FD, United Kingdom",52.4432309,-1.8405828,Freehold,0.2,0.2,C,200-400
40,"Clarence Road, Moseley",675000,Detached,5,1,"James Laurence Estate Agents, Edgbaston",https://www.rightmove.co.uk/properties/154103810#/?channel=RES_BUY,True,True,False,B13 9SZ,"Clarence Road, Kings Heath, Wake Green, Birmingham, West Midlands, England, B13 9SZ, United Kingdom",52.4374952,-1.8829319,Freehold,1.6,0.4,E,600-800
41,"Gospel Lane, Birmingham, B27",200000,Terraced,2,1,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/152547530#/?channel=RES_BUY,True,True,False,B27,"Gospel Lane, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B27 7AY, United Kingdom",52.4393366,-1.8164658,Freehold,0.6,0.2,A,200-400
42,"The Launde, Birmingham",300000,Semi-Detached,4,2,"Open House Estate Agents, Nationwide",https://www.rightmove.co.uk/properties/152500106#/?channel=RES_BUY,True,True,False,B28 0XP,"The Launde, Warstock, Yardley Wood, Birmingham, West Midlands, England, B28 0XP, United Kingdom",52.4096636,-1.8543647,Freehold,0.6,0.3,C,200-400
43,"Northbrook Road, Shirley, B90",175000,Flat,2,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/153948794#/?channel=RES_BUY,False,True,False,B90,"Northbrook Road, Sharmans Cross, Solihull, West Midlands, England, B90 3NP, United Kingdom",52.4193949,-1.8179748,Leasehold,1.3,0.2,B,0-200
44,"Fox Hollies Road, BIRMINGHAM, West Midlands, B28",355000,Semi-Detached,3,2,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/154090382#/?channel=RES_BUY,True,True,False,B28,"Fox Hollies Road, Springfield, Hall Green, Birmingham, West Midlands, England, B28 9DB, United Kingdom",52.430371,-1.8415673,Freehold,0.4,0.2,TBC,200-400
45,"Berry Maud Lane, Shirley",500000,Detached,4,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/152221637#/?channel=RES_BUY,True,True,False,B90 1BY,"Berry Maud Lane, Solihull Lodge, Solihull, West Midlands, England, B90 1BY, United Kingdom",52.4052943,-1.8539495,Freehold,0.3,0.1,E,400-600
46,"Mallards Reach, Solihull",200000,Flat,2,1,"Simon Burt The Estate Agent, Solihull",https://www.rightmove.co.uk/properties/153583133#/?channel=RES_BUY,True,True,False,B92 7BX,"Mallards Reach, Kineton Green, Solihull, West Midlands, England, B92 7BX, United Kingdom",52.432426750000005,-1.805943271709152,Leasehold,0.4,0.3,,200-400
47,"May Lane, Kings Heath, Birmingham, B14",290000,Terraced,3,1,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/152054951#/?channel=RES_BUY,True,True,False,B14,"May Lane, Billesley, Brandwood End, Birmingham, West Midlands, England, B14 4AH, United Kingdom",52.4197347,-1.8839644,Freehold,1.1,0.3,B,200-400
48,"Fox Hollies Road, Birmingham",230000,Terraced,3,2,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/153484847#/?channel=RES_BUY,True,True,False,B76 2BJ,"Fox Hollies Road, Thimble End, Sutton Coldfield, Birmingham, West Midlands, England, B76 2BJ, United Kingdom",52.5446243,-1.7890476,Freehold,0.3,0.2,A,200-400
49,"Marshall Lake Road, Shirley, Solihull",350000,Semi-Detached,4,1,"Burchell Edwards, Solihull",https://www.rightmove.co.uk/properties/143181125#/?channel=RES_BUY,True,True,False,B90 4PW,"Marshall Lake Road, Blossomfield, Solihull, West Midlands, England, B90 4PW, United Kingdom",52.4006555,-1.8145605,Freehold,1.3,0.3,C,200-400
50,"Cambridge Way, Birmingham",400000,Detached,4,2,"Shipways, Shirley",https://www.rightmove.co.uk/properties/154175105#/?channel=RES_BUY,True,True,False,B27 6SP,"Cambridge Way, Acocks Green, Birmingham, West Midlands, England, B27 6SP, United Kingdom",52.4525605,-1.8119178,Freehold,0.3,0.2,D,400-600
51,"Hopton Grove, BIRMINGHAM, West Midlands, B13",235000,Terraced,3,1,"Dixons, Kings Heath",https://www.rightmove.co.uk/properties/153953108#/?channel=RES_BUY,True,True,False,B13,"Hopton Grove, Billesley, Yardley Wood, Birmingham, West Midlands, England, B13 0LQ, United Kingdom",52.422389,-1.8677865,,0.6,0.2,TBC,200-400
52,"Gresham Road, Birmingham",325000,Semi-Detached,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/154393907#/?channel=RES_BUY,True,True,False,B28 0HZ,"Gresham Road, Billesley, Hall Green, Birmingham, West Midlands, England, B28 0HZ, United Kingdom",52.4237163,-1.8444108,Freehold,0.4,0.5,C,200-400
53,"Marion Way, Birmingham, B28",175000,Other,2,1,"Xact Homes, Solihull",https://www.rightmove.co.uk/properties/149577848#/?channel=RES_BUY,True,False,False,B28,"Marion Way, Billesley, Yardley Wood, Birmingham, West Midlands, England, B28 0BH, United Kingdom",52.4293299,-1.8530706,Leasehold,0.6,0.3,B,0-200
54,"Woodstock Road, Moseley",500000,Semi-Detached,4,2,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/152167388#/?channel=RES_BUY,True,True,False,B13 9BX,"Woodstock Road, Springfield, Wake Green, Birmingham, West Midlands, England, B13 9BX, United Kingdom",52.4482451,-1.8732157,Freehold,1.2,0.1,D,400-600
55,"Reddings Lane, Hall Green",230000,Terraced,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/154204403#/?channel=RES_BUY,True,True,False,B28 8TE,"Reddings Lane, Springfield, Greet, Birmingham, West Midlands, England, B28 8TE, United Kingdom",52.4417582,-1.8488402,Freehold,0.4,0.2,B,200-400
56,"Boscombe Road, Birmingham, West Midlands",120000,Terraced,2,1,"Leaders Sales, Maypole",https://www.rightmove.co.uk/properties/154328228#/?channel=RES_BUY,True,False,False,B11 3RH,"Boscombe Road, Springfield, Greet, Birmingham, West Midlands, England, B11 3RH, United Kingdom",52.45197,-1.8485129,Freehold,0.5,0.1,A,0-200
57,"Fox Hollies Road, Acocks Green",240000,Terraced,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/135108512#/?channel=RES_BUY,True,True,False,B27 7PX,"Fox Hollies Road, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B27 7PX, United Kingdom",52.4398162,-1.8343341,Freehold,0.4,0.2,B,200-400
58,"Haslucks Green Road, Shirley, Solihull",190000,Flat,2,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/147223274#/?channel=RES_BUY,True,True,False,B90 3BH,"Haslucks Green Road, Shirley, Solihull, West Midlands, England, B90 3BH, United Kingdom",52.4152921,-1.8290964,Leasehold,0.8,0.4,B,0-200
59,"Hargrave Road, Shirley, Solihull",450000,Detached,4,2,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/154155692#/?channel=RES_BUY,True,True,False,B90 1HU,"Hargrave Road, Solihull Lodge, Solihull, West Midlands, England, B90 1HU, United Kingdom",52.4048974,-1.8603926,Freehold,0.8,0.2,D,400-600
60,"Addison Road, Kings Heath, Birmingham, B14",415000,Terraced,5,2,"Glovers Estate Agents, Kings Heath",https://www.rightmove.co.uk/properties/148605551#/?channel=RES_BUY,True,False,False,B14,"Addison Road, Kings Heath, Wake Green, Birmingham, West Midlands, England, B14 7EJ, United Kingdom",52.4313331,-1.8885061,Freehold,1.5,0.1,B,400-600
61,"Croome Close, Sparkhill, Birmingham, B11",345000,Semi-Detached,3,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/152236007#/?channel=RES_BUY,True,True,False,B11,"Croome Close, Sparkhill, Birmingham, West Midlands, England, B11, United Kingdom",52.44882446111353,-1.870650026528147,Freehold,1.1,0.3,C,200-400
62,"Shirley Road, Acocks Green, Birmingham, West Midlands, B27",430000,Semi-Detached,4,2,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/152092067#/?channel=RES_BUY,True,True,False,B27,"Shirley Road, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B27 7NN, United Kingdom",52.4416631,-1.8255395,Freehold,0.5,0.2,D,400-600
63,"Haseley Road, Solihull, B91 1DH",440000,Detached,3,1,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/153542495#/?channel=RES_BUY,True,True,False,B91 1DH,"Haseley Road, Sharmans Cross, Solihull, West Midlands, England, B91 1DH, United Kingdom",52.4229621,-1.805157,Freehold,0.9,0.2,TBC,400-600
64,"Sladepool Farm Road, Birmingham",250000,Semi-Detached,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/153840470#/?channel=RES_BUY,True,True,False,B14 5EF,"Sladepool Farm Road, Warstock, Highters Heath, Birmingham, West Midlands, England, B14 5EF, United Kingdom",52.4084959,-1.8823846,Freehold,1.6,0.2,B,200-400
65,"Fallowfield Avenue, Birmingham",375000,Semi-Detached,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/154552121#/?channel=RES_BUY,True,True,False,B28 0ND,"Fallowfield Avenue, Billesley, Yardley Wood, Birmingham, West Midlands, England, B28 0ND, United Kingdom",52.4185592,-1.8449337,Freehold,0.5,0.2,C,200-400
66,"Park Road, Birmingham, B11",400000,Terraced,5,2,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/121250654#/?channel=RES_BUY,True,False,False,B11,"Park Road, Birmingham, West Midlands, England, B11, United Kingdom",52.44853865010483,-1.868405114984758,Freehold,1.1,0.1,C,400-600
67,"Tenchlee Place, Hall Green, Birmingham",520000,Detached,4,3,"Connells, Birmingham City",https://www.rightmove.co.uk/properties/135112643#/?channel=RES_BUY,True,True,True,B28 8SW,"Shaftmoor Lane, Hall Green, Birmingham, West Midlands, England, B28 8SW, United Kingdom",52.44236410112429,-1.8427314180797243,Freehold,0.2,0.2,TBC,400-600
68,"Tenby Road, Birmingham",200000,Terraced,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/147675044#/?channel=RES_BUY,True,True,False,B13 9LY,"Tenby Road, Springfield, Greet, Birmingham, West Midlands, England, B13 9LY, United Kingdom",52.4411433,-1.8563656,Freehold,0.6,0.2,A,200-400
69,"Webb Lane, Hall Green",370000,Semi-Detached,3,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/154219634#/?channel=RES_BUY,True,True,False,B28 0DX,"Webb Lane, Billesley, Yardley Wood, Birmingham, West Midlands, England, B28 0DX, United Kingdom",52.4257568,-1.8527278,Freehold,0.3,0.4,D,200-400
70,"Radbourne Road, Shirley, Solihull, B90 3RT",575000,Detached,4,2,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/151646738#/?channel=RES_BUY,True,True,False,B90 3RT,"Radbourne Road, Blossomfield, Solihull, West Midlands, England, B90 3RR, United Kingdom",52.4105685,-1.8115467,Freehold,1.0,0.2,,400-600
71,"Weston Lane, Birmingham",220000,Terraced,3,1,"Connells, Birmingham City",https://www.rightmove.co.uk/properties/140933774#/?channel=RES_BUY,True,True,False,B11 2LS,"Weston Lane, Springfield, Greet, Birmingham, West Midlands, England, B11 2LS, United Kingdom",52.4527623,-1.8534127,Freehold,0.5,0.1,A,200-400
72,"Myton Drive, Solihull",400000,Semi-Detached,3,1,"Abode Residential Ltd, Solihull",https://www.rightmove.co.uk/properties/153233813#/?channel=RES_BUY,True,True,False,B90 1HD,"Myton Drive, Solihull Lodge, Solihull, West Midlands, England, B90 1HD, United Kingdom",52.4054061,-1.8561761,Freehold,0.5,0.1,C,400-600
73,"Colebrook Road, Shirley, Solihull",335000,Semi-Detached,4,1,"Melvyn Danes, Shirley",https://www.rightmove.co.uk/properties/145331594#/?channel=RES_BUY,True,True,False,B90 1AX,"Colebrook Road, Haslucks Green, Solihull, West Midlands, England, B90 1AX, United Kingdom",52.40738,-1.849299,Freehold,0.4,0.2,,200-400
74,"Cadbury Road, Moseley",380000,Terraced,4,2,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/145357994#/?channel=RES_BUY,True,False,False,B13 9BH,"Cadbury Road, Springfield, Wake Green, Birmingham, West Midlands, England, B13 9BH, United Kingdom",52.4496037,-1.8741293,Freehold,1.2,0.1,D,200-400
75,"Hytall Road, Shirley, SOLIHULL",110000,Flat,1,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/150848129#/?channel=RES_BUY,True,True,False,B90 1NF,"Hytall Road, Solihull Lodge, Solihull, West Midlands, England, B90 1NF, United Kingdom",52.4083248,-1.8671782,Leasehold,1.0,0.4,A,0-200
76,"Reservoir Road, Solihull",445000,Semi-Detached,4,1,"Hunters, Solihull",https://www.rightmove.co.uk/properties/151662326#/?channel=RES_BUY,True,True,False,B92 8BA,"Reservoir Road, Ulverley Green, Solihull, West Midlands, England, B92 8BA, United Kingdom",52.4350462,-1.7993011,Freehold,0.4,0.6,E,400-600
77,"Trinity Court, Moseley",215000,Flat,2,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/153242372#/?channel=RES_BUY,True,True,False,B13 9HW,"53 Wake Green Road, Moseley, Birmingham, West Midlands, England, B13 9HW, United Kingdom",52.44380463429303,-1.878170617197836,Leasehold,1.6,0.2,D,200-400
78,"Peterbrook Road, Shirley",500000,Detached,3,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/153041453#/?channel=RES_BUY,True,True,False,B90 1JQ,"Peterbrook Road, Solihull Lodge, Solihull, West Midlands, England, B90 1JQ, United Kingdom",52.4023281,-1.8558247,Freehold,0.7,0.2,D,400-600
79,"Heathcliff Road, BIRMINGHAM",190000,Terraced,3,1,"Connells, Kings Heath",https://www.rightmove.co.uk/properties/152188445#/?channel=RES_BUY,True,True,False,B11 3RA,"Heathcliff Road, Acocks Green, Tyseley, Birmingham, West Midlands, England, B11 3RA, United Kingdom",52.4518265,-1.839945,Freehold,0.2,0.2,A,0-200
